Municipio,Tipo.de.delito,Anio_2015,Anio_2016,Anio_2017,Anio_2018,Anio_2019,Anio_2020,Anio,2015,2016,2017,2018,2019,2020
Acatic,Violación,0,1,1,0,3,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
Acatlán de Juárez,Violación,0,2,1,0,1,1,2015,Nula,Baja,Baja,Baja,Baja,Baja
Ahualulco de Mercado,Violación,0,1,1,1,1,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
Amacueca,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Amatitán,Violación,0,0,0,1,0,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
Ameca,Violación,2,3,1,2,1,0,2015,Baja,Baja,Baja,Baja,Nula,Nula
Arandas,Violación,1,1,3,0,2,2,2015,Baja,Media,Media,Media,Media,Media
Atemajac de Brizuela,Violación,0,1,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Atengo,Violación,0,1,0,1,0,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
Atenguillo,Violación,1,0,0,0,0,0,2015,Baja,Nula,Nula,Nula,Nula,Nula
Atotonilco el Alto,Violación,2,4,1,0,1,1,2015,Baja,Baja,Baja,Baja,Baja,Baja
Atoyac,Violación,1,0,0,0,0,1,2015,Baja,Baja,Baja,Baja,Nula,Baja
Autlán de Navarro,Violación,3,7,2,3,6,1,2015,Media,Media,Media,Media,Media,Baja
Ayotlán,Violación,0,0,0,2,0,1,2015,Nula,Baja,Baja,Media,Media,Baja
Ayutla,Violación,3,0,0,0,0,0,2015,Media,Nula,Nula,Nula,Nula,Nula
Bolaños,Violación,1,0,2,1,1,0,2015,Baja,Baja,Nula,Nula,Nula,Nula
Cabo Corrientes,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Cañadas de Obregón,Violación,0,0,0,1,0,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
Casimiro Castillo,Violación,0,0,0,0,2,1,2015,Nula,Baja,Baja,Baja,Baja,Baja
Chapala,Violación,0,5,2,2,3,0,2015,Nula,Baja,Baja,Baja,Nula,Nula
Chimaltitán,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Chiquilistlán,Violación,0,1,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Cihuatlán,Violación,2,0,0,3,0,0,2015,Baja,Baja,Baja,Baja,Nula,Nula
Cocula,Violación,0,0,2,1,0,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
Colotlán,Violación,1,0,4,0,1,0,2015,Baja,Baja,Nula,Nula,Nula,Nula
Concepción de Buenos Aires,Violación,0,1,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Cuautitlán de García Barragán,Violación,0,0,0,0,0,1,2015,Nula,Baja,Baja,Baja,Nula,Baja
Cuautla,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Cuquío,Violación,0,1,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Degollado,Violación,0,1,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Ejutla,Violación,0,0,1,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
El Arenal,Violación,0,2,1,2,1,1,2015,Nula,Baja,Media,Media,Media,Baja
El Grullo,Violación,0,1,1,0,1,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
El Limón,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
El Salto,Violación,6,18,10,7,13,8,2015,Media,Media,Media,Media,Media,Media
Encarnación de Díaz,Violación,0,1,0,2,1,1,2015,Nula,Baja,Media,Media,Media,Baja
Etzatlán,Violación,1,0,0,1,0,0,2015,Baja,Baja,Nula,Nula,Nula,Nula
Gómez Farías,Violación,0,0,1,0,2,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
Guachinango,Violación,0,1,2,0,0,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
Guadalajara,Violación,93,88,124,95,108,67,2015,Alta,Alta,Alta,Alta,Alta,Alta
Hostotipaquillo,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Huejúcar,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Huejuquilla el Alto,Violación,0,1,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Ixtlahuacán de los Membrillos,Violación,3,5,1,3,3,1,2015,Media,Baja,Media,Media,Media,Baja
Ixtlahuacán del Río,Violación,1,0,0,0,1,0,2015,Baja,Baja,Nula,Nula,Nula,Nula
Jalostotitlán,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Jamay,Violación,0,0,1,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Jesús María,Violación,1,0,1,0,0,1,2015,Baja,Baja,Baja,Baja,Nula,Baja
Jilotlán de los Dolores,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Jocotepec,Violación,3,6,1,1,2,2,2015,Media,Media,Media,Media,Media,Media
Juanacatlán,Violación,1,1,1,2,0,1,2015,Baja,Baja,Baja,Media,Media,Baja
Juchitlán,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
La Barca,Violación,2,0,1,3,1,1,2015,Baja,Baja,Media,Media,Media,Baja
La Huerta,Violación,1,2,1,0,1,0,2015,Baja,Baja,Nula,Nula,Nula,Nula
La Manzanilla de la Paz,Violación,0,0,0,0,1,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
Lagos de Moreno,Violación,2,4,4,3,6,0,2015,Baja,Baja,Baja,Baja,Nula,Nula
Magdalena,Violación,0,1,0,0,1,1,2015,Nula,Baja,Baja,Baja,Nula,Baja
Mascota,Violación,0,0,0,1,0,1,2015,Nula,Baja,Baja,Baja,Baja,Baja
